Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
HART 1044,Science on Stage,1 Credit(s),,,,,,,,Science and Theater both seek to examine and interpret the world to build up knowledge and insights about life. Scientists work on getting closer and closer to the truth behind the phenomenon observed in life@ while Theater artists dissect and reveal the truth of lived experiences from different perspectives. The two disciplines are therefore crucial in the betterment of humanity and our relationship with the world. In this practicum arts course@ students will explore the beauty of the synthesis of Science and Theater through the study of selected influential plays on science and humanity@ and interactive drama workshops exploring the science in performing arts@ and the humanity and dramatic nature in science. The drama experience will deepen students# understanding of the connection between science and drama. With the acquired performing skills@ the exploration of scientific concepts@ and the understanding developed about the plays@ students will work in small groups to perform excerpts of the plays in class.,@
HART 1045,Exploring Puppetry: Creating a Shadow Puppet Production,1 Credit(s),,,,,,,,This course adopts an introductory and interdisciplinary approach to help students appreciate the theory@ history and practice of the art of puppetry. Students will develop a script@ design and build shadow puppets@ choreograph and rehearse a show@ produce a sound track@ design lighting and perform the show. Students will learn about basic puppet types@ such as the difference between a puppet and a marionette. We will examine puppets from around the world and how technological innovations@ especially lighting@ sound@ video and special effects@ are changing puppetry. Students will see examples of actual puppets before they design and make their own.,@
HART 1046,Introduction to Interior Design,1 Credit(s),,,,,,,,In this course@ students will learn how to develop an interior design project for a specific purpose@ focusing on style@ materials@ colours and other design elements to serve the purpose. They will research into existing projects and define their own style with the aim of developing new design thinking methods. They will be introduced to the fundamental design strategies for residential@ retail and visual merchandising purposes. They will be guided to research into innovative materials and exemplary projects@ and learn to present their ideas using different presentation tools of the professionals.,@
HART 1047,Introduction to Chinese Landscape Painting,1 Credit(s),,,,,,,,"Of the three main categories of traditional Chinese painting@ namely@ landscape@ flower‐and‐bird@ and figure painting@ landscape painting has developed a unique significance through history. Painters in every dynasty and epoch@ whether official imperial court painters or literati painters in their cultural circles@ have made brilliant achievements in this field. They may have different focuses@ techniques and presentation methods of nature; nevertheless@ what they always show is the inner scenery of the painter@ the ideal world constructed by the painter. Students will learn basic brush techniques@ through which they will understand the creative process of Chinese painting with the focus on landscape painting. They will be encouraged to create their own works through the application of the techniques and attempts to reform this traditional art form. 
中國繪畫以山水、花鳥、人物為三大主要分科。山水畫發展歷史悠久，經歷不同朝代及社會民生的變化，包含著複雜卻又千絲萬縷的關係。無論宮廷畫院，文人派系，甚至新中國時期以祖國建設為題的山水作品，都是以傳統基礎為依，堅守外師造化，卻不失時代環境的獨特個性。透過學習山水畫，通過臨摹、作品觀摩、範本挑選、課堂示範和練習等，同學不但能學習相關技法，也能對中國藝術的審美能力有所提升。",@
HART 1048,Fashion Art and Styling,1 Credit(s),,,,,,,,In this course@ students will explore the craft and visual expression of fashion design. Students will learn to work with fabrics and unconventional materials to produce mixed media fashion art and design. Sewing techniques and other material manipulation learned in the class will be applied to creating a finished garment@ and at the end of the course@ students will undertake a fashion photo‐shooting exercise to promote their own work.,@
HLTH 1010,Healthy Lifestyle,0 Credit(s),,,,,,,,A compulsory@ one-year course for all undergraduates to learn how to maintain a well-balanced and healthy lifestyle that will help them to manage their lives@ learning@ transitions and holistic development. Students will complete at least 45 hours of activities including physical and wellness assessments@ sports skill classes@ organized sports and fitness events@ community service@ as well as enrichment topics@ for example@ mental health@ wellness@ transitions@ student life@ and personal growth. Students with special personal reasons may seek exemption from the Director of Student Affairs. Graded P or F.,@
HUMA 1000,Cultures and Values,3 Credit(s),,,,,[BLD] Blended learning,,,The objectives of the course are for communicative capacity building through humanities knowledge and for enrichment of values and perspectives corresponding to the mission and vision of UST@ rather than for enhancement of knowledge in specific branch of humanities. Values explored in this course will be drawn from those closely related to the mission and vision of UST like humanistic concerns of others and the environment@ respect of differences and justice@ communicative sensitivity@ complexity of humanity@ potential bias and fallacy in popular perceptions@ values@ and stereotyping@ among others. The humanities disciplinary approaches will be drawn from history@ philosophy@ literature@ anthropology@ linguistics and art. The course is offered in separate sections@ each has its specific values and approach identified by the teacher.,@
HUMA 1001,Foundational Texts in the Humanities,3 Credit(s),,,,,,,,This course introduces students to foundational texts in the Chinese and Western humanities. In the process@ it builds students# skills at close reading@ explication and analytical writing@ while expanding their understanding of Chinese and Western cultures and civilizations. The course is offered in separate sections@ each has its specific values and approach identified by the teacher. Each section may use different texts@ either in Chinese or English. Students should review the texts to be used in each section before registration.,@
HUMA 1009,Special Topics,3 Credit(s),,,,,,,,Focuses on a coherent collection of topics selected from the humanities. May be repeated for credit@ if topics are different.,@
HUMA 1010,Introduction to Language,3 Credit(s),,,,,,,,An examination of fundamental concepts and principles in the scientific analysis of human language@ especially concerning speech sounds@ syntax@ meaning@ language acquisition@ language processing@ sociolinguistics and history of languages. Students who have taken an introductory course in linguistics in universities should not enroll in this course.,@
HUMA 1020,Chinese Writing and Culture,3 Credit(s),,HUMA 099H,,,,,,This introductory course to the ancient Chinese writing system covers its origin@ nature@ classification and development. Students will learn a newly-developed framework@ i.e.@ the three-principle theory of Chinese scripts@ by which thousands of characters coming from archeological materials such as jiaguwen (oracle bone inscriptions)@ jinwen (bronze inscriptions) and jianbowenzi (bamboo and silk scripts) can be appropriately analyzed and classified. Other important components include general theories about language and script@ and the historical and cultural aspects of Chinese characters.,@
HUMA 1030,Structure of the Chinese Language,3 Credit(s),,,,,,,,This course introduces basic concepts in linguistics such as consonant@ vowel@ morpheme@ concepts which help students to describe and analyze the structure of the Chinese language@ with emphasis on sounds and grammar. Moreover@ similarities and differences among major Chinese dialects such as Mandarin@ Yue@ Min@ Hakka@ Wu@ etc@ and between Chinese and other languages will be highlighted. Furthermore@ characteristics of the non-Han languages spoken in the neighboring areas will be compared with those of the Chinese dialects in order to highlight the bi-directional influences between Chinese and the non-Han languages@ influences which help shape these languages.,@
HUMA 1060,Introduction to Mandarin Chinese Grammar,3 Credit(s),,,,,,,,The course introduces students to basic concepts in Mandarin Chinese grammar and fundamental techniques of grammatical analysis. Differences between Chinese and English as well as between Mandarin and Cantonese will also be highlighted. Topics include word structure and sentence structure of Mandarin Chinese@ and characteristics of Chinese grammar@ etc.,@
HUMA 1100,Music of the World,3 Credit(s),,,,,,,,This is a survey course to study selected types of world music outside the Western European tradition. The student will learn to understand world music through the aspect of culture and society.,@
HUMA 1102,Enjoyment of Classical Music,3 Credit(s),,,,,,,,From the power and beauty of the orchestra to masterpieces of the church and concert hall@ students will gain an in-depth appreciation for the history and fundamentals of Western classical music. The listening and analytical skills demonstrated will bring about a deeper understanding of music as an art form. Previous musical training@ albeit helpful@ is not required.,@
HUMA 1107,Music and Film,3 Credit(s),,,,,,,,This course explores the relationship between music and film@ delving into the historical development of production and the dramatic function of film scores from mainstream to independent cinema. Focusing on the work of a variety of composers and film directors@ the course will examine the collaborative process between these artists to achieve these goals. Prior knowledge of music and film@ albeit helpful@ is not required.,@
HUMA 1210,Chinese Women on Screen,3 Credit(s),,,,,,,,This course approaches Chinese women as both historical and fictional figures to unravel the complicated relationship between history and visual representation. Each week revolves around a special topic and a film about Chinese women located in a specific socio-historical period. This course is in chronological order@ beginning from Republican women to contemporary female immigrants in the age of globalization. The changing images of women on screen went hand in hand with major cinematic movements in history@ including the left turn in the 1930s@ the rise of animation@ socialist filmmaking@ model opera film@ underground/independent filmmaking@ and the cinematic globalization. The purpose of this course is to build a foundation for students from different academic backgrounds who may have little or no knowledge of Chinese culture and history. Proficiency in Chinese is a plus but not required because all reading materials and class discussion are in English.,@
HUMA 1231,Popular Culture of East Asia,3 Credit(s),,,,,,,,This course provides an overview of the various forms of popular culture in East Asia and focuses on the question of how the rise of East Asian popular culture reflects the desire for $modernity$ and $modernization$ in each East Asian country and affects the interactions among them. Numerous popular cultural forms - music@ film@ TV drama@ manga/anime@ novels@ entertainment@ food@ fashion and design - in Japan@ Korea@ China@ Hong Kong@ and Taiwan will be examined. The increasing global fascination of or craze for East Asian popular culture and how such East Asian $soft power$ has inspired and transformed the global aesthetics and popular imagination or understanding of East Asia will also be discussed.,@
HUMA 1250,Themes in Literature: Love and Death,3 Credit(s),,,,,,,,This course concentrates on the themes of love and death in literature and on ways these themes are handled by various writers from a comparative perspective. Reading materials are primarily poems and short stories. Excerpts from selected novels may also be included. In addition to guiding students to examine literary texts closely@ this course also explores the relationship between studies of literature and other disciplines@ such as psychology and philosophy. Topics include the construction of subjectivity@ gender and sexuality@ ethics of desire@ self and society@ and the meaning of existence.,@
HUMA 1300,Introduction to Western Literature,3 Credit(s),,,,,,,,This course will introduce students to methods of reading western literary texts in English or in English translation. Its focus is on short stories@ poems@ and plays. Texts chosen will be those exploring aspects of initiation@ romance and family@ social and cultural issues in race@ gender@ and identity.,@
HUMA 1301,World Literature and Film,3 Credit(s),,,,,,,,This course explores the complex interplay between literature and cinema. Selected novels@ short stories and plays are analyzed in relation to their cinematic adaptations to gain an understanding of the masterpieces of world literature@ and the possibilities and challenges involved in their cinematic manifestations.,@
HUMA 1420,Late Imperial China from Yuan to Qing,3 Credit(s),,HUMA 2420,,,,,,This course will cover the history of China from the Yuan to the Qing dynasties. It will introduce students to the political@ social@ economic@ and cultural changes that took place during this period@ and also places China firmly in context of world history. Students will engage both primary and secondary sources and are encouraged to ask pertinent questions with regards to how changes and continuities took place. The course will also look beyond the strict temporal confines of the late imperial period and examine how history has informed the contours of China today.,@
HUMA 1430,History of P. R. China#s Diplomacy@ 1949-1989,3 Credit(s),,,,,,,,This course will introduce to students the diplomatic history of the People#s Republic of China from 1949 to 1989@ focusing on Sino-USSR and Sino-U.S. relations in the context of the Cold War. Key events and leading figures will be covered@ newly declassified archival materials will be presented@ and critical examination and rethinking of PRC history will be introduced for discussion.,@
HUMA 1440,Modern China,3 Credit(s),,MGCS 5001,,,,,,This general history course introduces students to China#s political@ economic@ social@ and cultural life during the 19th and 20th centuries. A survey of major political@ social@ and cultural events and changes in China from the late-imperial period to the founding of the People#s Republic of China. The course focuses on  dramatic changes in China in order to review how these changes have radically reshaped Chinese society@ economy@ politics@ and culture.,@
HUMA 1520,Modern East Asia,3 Credit(s),,MGCS 5004,,,,,,This course is a survey of the history of political@ social@ economic@ and cultural changes in East Asia (mainly China and Japan@ and to some extent@ Korea) from the 1800s to the 1950s. In the past two centuries@ the classical civilizations of East Asia met new challenges: the disintegration of old political systems@ the growth of social tensions@ and the arrival of an aggressive and expanding West. This course will study the internal and external tensions that undermined the traditional orders@ compelling China@ Japan@ and Korea to seek new political and social reforms. Special attention will be given to the revolutionary changes in society@ thought@ culture@ and the rise of a new political order in twentieth-century China@ Japan@ and Korea.,@
HUMA 1620,Human Culture and Society,3 Credit(s),,,,,,,,An introduction to concepts and principles of human cultures and societies from the anthropological perspective@ exploring the interaction between culture and society and the causes underlying their changes.,@
HUMA 1630,Popular Religion in South China,3 Credit(s),,,,,,,,This course adopts an anthropological approach to the study of popular religion in South China. The relationships among popular religion and other socio-cultural institutions and the interactions between local societies and the state will be  explored. The structure of temples@ the processes of festivals and pilgrimages@ meanings of religious activities@ and concepts of the religious values and system will be examined.,@
HUMA 1632,Community Heritage and Food Technology,3 Credit(s),,,,,[EXP] Experiential learning,,,Students will engage in a community heritage program of food technology through interdisciplinary experiential learning. They will practice the 4-stage experiential learning cycle of concrete experience@ reflective observation@ abstract conceptualization and active experimentation in serving as heritage docents and running traditional food processing workshops in Yimtintsai@ Saikung. A holistic perspective on community and heritage highlighting the interdependence and interrelatedness of the ecological and environmental aspects@ technological and economic aspects@ social and political aspects@ and cultural and cosmological aspects will be introduced to enhance students# understanding of interdisciplinary learning in real life contexts and stimulate their exploration and creativity. Real life experiential learning will be substantiated with laboratory sessions on food technology analysis and classroom lectures on relevant conceptual frameworks to explore critical issues about heritage preservation@ tourism development and community revitalization. Critical reflections will be guided to synthesize the various experiential learning components in classroom and real life contexts.,@
HUMA 1639,Marriage@ Family and Kinship in Cross-cultural Perspectives,3 Credit(s),,,,,,,,This course examines the diverse cultural meanings and structures of kinship relations and organizations. Different anthropological approaches in analyzing the structures and practices of marriage@ family and kinship will be examined.,@
HUMA 1650,Appreciation of Western Art,3 Credit(s),,,,,,,,An introduction to the appreciation of art through selected works of architecture@ sculpture@ and painting from the West@ from the ancient periods to the present day.,@
HUMA 1660,Introduction to Chinese Art,3 Credit(s),,,,,,,,This course is a chronological and thematic survey of Chinese visual art from the Neolithic period to modern times. Topics introduced include ancient Chinese bronze and jade@ pottery and ceramics@ Buddhist art and sculpture@ painting and calligraphy@ garden and architecture.,@
HUMA 1671,Cantonese Opera in Hong Kong Culture,3 Credit(s),,,,,,,,The $culture$ of a community encompasses the social and personal behaviour@ language and dialects@ visual and performing arts@ economic activities and the ideas@ beliefs@ and customs of its people. As a traditional genre of performing arts unique to Hong Kong@ Cantonese opera has a long history of development and is entwined to arguably all such aspects of Hong Kong culture. Set within the socio‐cultural context of Hong Kong@ this course explores the genre in terms of its course of development@ repertory@ plots@ script structure@ performing techniques such as singing@ acting@ reciting and fencing@ troupe organisation@ training of artists@ performing venues including theatre and the bamboo stage@ and its marketing strategies@ aiming at unfolding to the students how an art form is appreciated through both the aesthetical and functional perspectives. The course will be offered either in Cantonese or English subject to different offerings. Students are advised to check the medium of instruction/materials before class enrollment.,@
HUMA 1672,Studio Arts Workshops: Cantonese Opera,1 Credit(s),,,HUMA 1671,,,,,"This course will allow students enrolled to HUMA 1671 Cantonese Opera in Hong Kong Culture to have hands‐on experience of Cantonese Opera. Students will learn the four basic performance skills of Cantonese opera@ namely@ singing@ reciting@ acting and
fencing. Graded DI/PA/F.",@
HUMA 1710,The Art of Thinking in the Hong Kong Context,3 Credit(s),,HUMA 1720,,,,,,This course aims to provide a basic introduction to the art of thinking. The focus of this course is on methodology. Students will be equipped with critical tools for the analysis of arguments. Moreover@ special attention will be given to the application of such tools to the practical affairs of everyday life.,@
HUMA 1720,Logic,3 Credit(s),,HUMA 1710,,,,,,This course is designed to provide the students with the basic knowledge of logic@ so that they can apply logical techniques to analyze various problems of reasoning in ordinary language and to examine the fallacies of thinking in daily life. The course includes topics such as the basic concepts of logic@ logic and language@ fallacies and definitions@ sentential logic@ and syllogism.,@
HUMA 1810,Introduction to Chinese Philosophy,3 Credit(s),,HUMA 1811,,,,,,This course is designed to familiarize students with the developments of Chinese philosophy in the traditional period. It will focus specifically on Confucianism@ Taoism@ Mohism@ Legalism@ neo-Taoism@ Buddhism and neo-Confucianism for the simple reason that these schools@ having had exerted tremendous and lasting impacts on the formation of the Chinese mind in the past@ will continue to shape the Chinese outlook on life in the future.,@
HUMA 1811,History of Chinese Philosophy,3 Credit(s),,HUMA 1810,,,,,,A historical survey of the developments of Chinese philosophy. Important philosophers@ texts@ concepts@ and issues will be introduced and examined.,@
HUMA 1910,World Religions,3 Credit(s),,,,,,,,This introductory course enables students to acquire basic understanding regarding history@ practices and beliefs of six living religious traditions: including Taoism@ Hinduism@ Buddhism@ Judaism@ Christianity@ and Islam. Students will learn how to appreciate the relevance of religion in modern culture.,@
HUMA 1920,Introduction to Moral Philosophy,3 Credit(s),,,,,,,,This introductory course examines various beliefs and questions underlying our moral lives. These include the relation between morality and religion@ subjectivism@ relativism@ self-interest@ the rights and wrongs of euthanasia@ etc. Also@ certain ethical theories claim to help us make the right moral decisions@ e.g. utilitarianism. This course is a systematic exploration of such beliefs and theories@ emphasizing critical thinking and reasonable justification.,@
HUMA 2000-2001,Special Topics in Humanities,3 Credit(s),,,,,,,,Focuses on a coherent collection of topics selected from the humanities. May be repeated for credit@ if topics are different.,@
HUMA 2010,Metaphors in English and Chinese,3 Credit(s),,,,,,,,A comprehensive study of metaphors in English and Chinese@ not only as a rhetorical device@ but also as an essential tool of our ordinary language and thought. The course encompasses a wide range of diverse topics such as literary metaphors@ metaphors in everyday language (about time@ life@ change@ quantity@ love@ anger@ etc.)@ and metaphors in politics@ mathematics@ physics@ artificial intelligence@ and cyberspace. The approach is interdisciplinary and comparative@ and most topics are to be discussed from a cross-linguistic and cross-cultural perspective. An ordinary reading knowledge of Chinese is required for enrollment.,@
HUMA 2031,The Cantonese Language,3 Credit(s),,,,,,,,Study of the Cantonese language@ from the perspective of linguistics which emphasizes the scientific study of language. The course focuses on the sound and the grammatical systems of Cantonese. It also examines historical and socio-linguistic issues pertinent to the development of Cantonese in the context of Hong Kong. Students enrolling in this course are expected to have basic knowledge of Chinese.,@
HUMA 2050,Classical Chinese,3 Credit(s),,,,,,,,An introduction to the fundamental aspects of Classical Chinese grammar and a linguistic study of Classical Chinese texts selected from the classics in the pre-Qin era and the Han period@ including Shijing (Book of Songs)@ Zuozhuan (Zuo#s Commentaries)@ Lunyu (Analects)@ Mengzi (Mencius) and Shiji (Records of the Historian). This course also teaches students to translate classical Chinese into modern Chinese and to improve Chinese communication skills@ with emphasis on academic writing.,@
HUMA 2101,Enjoyment of Western Opera,3 Credit(s),,,,,,HUMA 3101,,An examination of the historical development of western opera@ and selected western operas with their related literary texts. This course will also put some emphasis on works that are related to Asian cultures@ and operas that will be performed in Hong Kong. No previous knowledge of opera is required.,@
HUMA 2103,Introduction to Music Composition,3 Credit(s),,,,,,,,(1) Course Content: Through a progressive series of composition projects@ students learn the organizational skill of musical composition and performances@ focusing on the basics of unity and variety; promoting students# understanding of humanistic experiences@ creativities and emotions. Weekly listening@ reading@ and composition assignments draw on a broad range of musical styles and intellectual traditions@ from various cultures and historical periods. (2) Advice on the background of Students: Students are required to have the ability to sing or to play one or more musical instruments (e.g. Grade 3 in Royal Schools Music Exam or equivalent). The ability to read music and the knowledge to music notation are preferable@ but not required.,@
HUMA 2104,Music Theory I: Introduction to Tonal Music,3 Credit(s),,SISP 1709,,,,,,This course will introduce students to written basic music theory concepts@ beginning with basic music notation and ending with fundamentals of harmony. During the tutorial sessions@ students will also develop their aural (listening) and sight-singing skills. This is an elementary level course which students without any music background can take. This course is not recommended for students with ABRSM Grade 8 in Music Theory or other musical instruments or equivalent qualifications.,@
HUMA 2105,Music@ Drama and Theatre,3 Credit(s),,,,,,,,This course will guide the students to create@ produce@ and perform their own musical theatre work. As musical theatre is a multi-artwork@ this course would be suitable for students who are interested in language art@ music@ theatre@ dance@ and visual art. At the discretion of the instructor@ an in-class or public performance would be offered during the term. No prior knowledge or experience of performing arts is required.,@
HUMA 2106,A New Approach to Music Making,3 Credit(s),,,,,,,,This innovative course explores the music creative process from the perspective of both the composer and performer and seeks to answer the following questions: When we compose@ are we composing only or are we also thinking of performance practice? When we perform@ either new or old works@ are we only performing or are we composing? Course topics include understanding analysis of classical and contemporary music@ instruction of the basic craft of composition@ and critique of performance practice in relation to music compositional skills. Students should have some background in music with experience performing an instrument and/or experience with music composition. Basic knowledge of music theory@ notation@ and composition experience is a plus.,@
HUMA 2107,Introduction to Electronic Music Composition,3 Credit(s),,,,,,,,This course will develop students# appreciation of various types of electronic music via an open@ creative environment for its composition. We will explore the nature of sound and approaches to its organization -- listening deeply to music and the world around us -- and cover theory and practice in digital audio signal processing. Since we will be working with #concrete sound#@ students need not have any prior experience in music notation or composition to participate in the course. The course will culminate in an open concert-presentation of final works that students will have developed over the semester.,@
HUMA 2210,Western Short Stories,3 Credit(s),,,,,,,,This course will introduce students to representative works of Western short stories produced in the 19th and 20th centuries. It covers some of the most well-known examples from Europe and America@ as well as literary works produced in ex-colonies in Africa and South America. The stories selected range in style from realism to fantasy@ modernism@ and postmodernism. In addition to a critical analysis of themes and the art of fiction writing@ students will gain from this course a deeper understanding of human experiences and different outlooks on life characteristic of the western world.,@
HUMA 2220,China in Film: Modern Chinese Culture and Identities,3 Credit(s),,,,,,,,This course attempts to examine the narration of Chinese history in film from both historical and visual perspectives in light of such issues as gender and nationalism@ the revolutionary aesthetics@ the city and the country@ nostalgia and historical imagination@ and the negotiations of the Chinese modern and cultural identity in the new cinemas in the global context.,@
HUMA 2240,Masterpieces of Chinese Literature,3 Credit(s),,,,,,,,A study of the major works of various genres in the Chinese literary tradition examined in their historical context@ with emphasis on their literary features and influences.,@
HUMA 2250,Modern Chinese Fiction (1917-1949),3 Credit(s),,,,,,,,A historical and critical survey of modern Chinese fiction from 1917 to 1949@ with emphasis on the forms of novella and short story.,@
HUMA 2260,Contemporary Chinese Fiction (1949-present),3 Credit(s),,,,,,,,A historical and critical survey of modern Chinese fiction from 1949 to the present@ with emphasis on the forms of novella and short story.,@
HUMA 2280,Identity Goes Global: From Border Crossing to Boundary Remaking,3 Credit(s),,,,,,,,In this increasing global and transient world where people from different cultures and nationalities interact on a more rapid and frequent basis@ how is one#s $identity$ affected and renegotiated@ and what factors affect its formation@ re-formation as well as transformation? When one#s identity is no longer confined by one single bloodline@ race@ ethnicity@ nationality@ language or culture@ how can one make sense of the multiple facets within his/her cultural@ national or linguistic identity? Is there such a thing called $global identity$ and how can one understand it with a more comprehensive and creative approach? To answer these questions@ this course will introduce key theories@ discourses and writings on the physical experiences of $border crossing$ and the academic $clearing$ and $remaking$ of boundaries in the study of identity across different disciplines. Through these texts@ this course will not only bring to light the complexity of hybrid identities in an age of globalization but also encourage students to think critically about the factors that have influenced and will continue to affect the nature their own identity.,@
HUMA 2300,Traditional Chinese Poetry: Early Chinese Poetry,3 Credit(s),,,,,,,,A study of the origins and early development of classical Chinese poetry. Shijing@ Chuci@ folk songs@ and major poets from the Han and the Six Dynasties are examined.,@
HUMA 2310,Traditional Chinese Fiction,3 Credit(s),,,,,,,,A survey of traditional Chinese fiction from its formative period to the Qing through the reading of selected texts@ with emphasis on the evolution of the forms and themes and their cultural implications.,@
HUMA 2320,Chinese Drama,3 Credit(s),,,,,,,,An introduction to the fundamentals of Chinese drama in both modern and pre-modern periods@ with the emphasis on how to appreciate Chinese drama tradition.,@
HUMA 2330,Anime,3 Credit(s),,,,,,,,With the rise of digital culture since the late 1980s@ Japanese animation@ widely known as anime@ has become a global phenomenon. Given its sweeping impact worldwide@ we can no longer shrug it off as mere pop culture and entertainment. Indeed@ anime has gradually emerged as a new field of research and critical inquiry@ dominating film histories and theories in the academia. This course offers an overview of anime by examining its histories@ techniques and technologies@ medium@ genres@ and conceptual issues. It will track anime#s early years@ development@ industrialization@ globalization@ and explosive boom in the new millennium. Focusing on two major medium and formats@ TV series and cinema features@ this course will explore a variety of overlapping (sub)genres@ such as robot@ mecha@ cyberpunk@ apocalypse@ adventure@ action@ supernatural@ shōjo@ and tragedy. Conceptual issues like cuteness@ gender@ sexuality@ nation@ environment@ human-machine interaction@ AI and posthumanism will be examined closely. Japanese language and knowledge are welcome but not required for this course.,@
HUMA 2340,Between Old and New: Chinese Stories and Their Reinventions,3 Credit(s),,,,,,,,This course traces the transmutation and reinvention of classical Chinese stories from ancient times to present era. What are the stories told once and again in Chinese culture? Is it true that each retelling is different? Or do things stay more or less the same despite changes of time? Are there perennial themes that thread through Chinese civilization? Is this a valid question? In this course@ we engage these questions by putting examples in Chinese literature and culture from the past and the present into dialogue. Taking a transmedia approach@ this course brings in both textual and visual materials from history@ literature@ and cinema. By juxtaposing materials of relevance from different times and carried by various media@ we explore continuities and discontinuities in Chinese culture as well as the possibilities and limits each historical moment offers for cultural transformation.,@
HUMA 2400,Approaches to Humanities in China Studies,3 Credit(s),,,,,,,,This course is designed to train students with the skills of academic research and writing in the field of humanities in general@ but with special reference to arts@ literature@ linguistics@ religion@ philosophy@ history@ and anthropology@ of China@ in particular. Students# attention will also be drawn to the inherent problems of sources and materials as textual or visual #evidence#@ and they will be taught how to identify and to tackle with the problem of fallacy of #evidence#.,@
HUMA 2420,Late Imperial China,3 Credit(s),,,,,,,,"A comprehensive survey of Chinese history from the ninth down to the eighteenth century@ with emphasis on developments in the economy and society@ empire-building@ and intellectual pursuits.",@
HUMA 2430,China in the 20th Century,3 Credit(s),,,,,,,,A study of modern Chinese history from the Revolution of 1911 to the reforms in the 1980s@ examining the interplay of imperialism@ democracy@ nationalism@ and socialism@ which shaped China#s struggle for survival in the 20th century and its emergence as a strong modern nation.,@
HUMA 2440,20th-Century China in Documentary Films,3 Credit(s),,,,,,,,This course presents the turbulent history of twentieth century China through documentary films. In addition to reading historical texts@ students will study various films made by journalists and filmmakers of the time and in recent years. In the first half of the term@ the course will cover major historical events from the 1911 revolution to 1989. In the second half@ through closely studying documentary films the course will focus on several themes@ including China#s role in WWII@ the Anti-Rightist Campaign@ the Great Leap Forward@ the Cultural Revolution@ and the Tiananmen Incident in 1989. Some of the films are in English and some in Chinese with subtitles.,@
HUMA 2470,From Fung Shui to Mao#s Villages: City Plans@ Urban Politics & the Unseen World of Chinese Villages,3 Credit(s),,,,,,,,A historical survey of the socio-cultural transformation in Chinese cities and villages from the late-Imperial to the modern periods. The process of $modernization$ as well as the persistence of tradition is studied to redress some of the stereotyped pictures of Chinese society@ both rural and urban. Important topics include: continuity and change in China#s city plans and their cultural meanings@ the cultural meanings and importance of cities in Imperial China@ the socio-economic-politico-cultural significances of treaty port cities as beachhead of Western expansion in China@ urban modernization and its socio-economic-cultural impacts on China during the warlord period and under the Nationalist regime@ the salient characteristics and the reality of Chinese rural society and politic in the pre-modern and modern periods@ the social and economic development and devastation of the Chinese countryside between 1800 and 1940@ and how the Chinese Communist Party made revolution in the countryside before 1937.,@
HUMA 2520,History of Tea in East Asia,3 Credit(s),,,,,,,,This course explores the history of tea in East Asia from its origins to the present day using an interdisciplinary approach. Topics covered include the development of tea culture throughout history@ tea#s role as a trade commodity@ the dissemination and innovation in tea production technologies@ and its recent re-imagining as a traditional product. The course will be a mix of lectures and discussions.,@
HUMA 2588,Nazism and German Society@ 1914-1945,3 Credit(s),,HUMA 2589,,,,,,This course surveys German history from 1914 to 1945@ with a focus on the rise@ rule@ and destruction of National Socialism. Topics to be covered include the First World War@ the Weimar Republic@ the emergence of the National Socialist movement@ consent and coercion in the Third Reich@ the racial state@ Hitler#s leadership@ the Second World War@ and the Holocaust. In addition to mastering historical concepts and narratives@ students will sharpen their abilities to read sources and write analytical essays.,@
HUMA 2589,Mussolini@ Stalin@ Hitler: Dictators and their Regimes,3 Credit(s),,,,,,,,This course provides undergraduate students with an overview of three definitive political and social movements of modern Europe: Fascism@ National Socialism and Stalinism. It emphasizes the comparative analysis of politics@ ideology and everyday life; the close reading of primary sources; and theoretical perspectives.,@
HUMA 2590,The Making of the Modern World: Renaissance to the Present,3 Credit(s),,,,,,,,This course surveys the major ideas@ political developments and cultural movements in European societies from the renaissance to the present@ providing students with foundational and thematic knowledge of European history@ as well as an understanding of the ways that European politics@ culture and economy have shaped through encounters with non-European societies -- through cultural and commercial exchange@ imperialism and de-colonization@ Cold War rivalries and globalization.,@
HUMA 2595,Science@ Technology and Modern Life,3 Credit(s),,,,,,,,This course provides students with an introduction to how science and technology have influenced politics@ culture and society during the 20th and 21st Centuries. Special emphasis will be placed on new ethical dilemmas present in emerging fields of science and engineering. Classes will mix lectures with discussions@ and students will be required to prepare an in-depth final research project.,@
HUMA 2596,History of Biology and Medicine,3 Credit(s),,,,,,,,This course explores the past 200 years of history of biology and medicine. It is designed as an introductory course for students who have no background in the subject. Topics will include case studies from both the 19th Century and the 20th Century@ with an emphasis on how the past has influenced the present. Classes will mix lectures with discussions@ and students will prepare an in-depth final research presentation as well as an extended review essay of a book in the history of biology or medicine of their choosing.,@
HUMA 2597,Environmental History,3 Credit(s),,,,,,,,This course provides students with an introduction to the field of environmental history focusing on the past one hundred years of environmental change around the globe. The course will explore different themes in environmental history@ including the environmental impact of humans@ the history of sustainable development@ environmental justice movements and national programs of nature conservation.,@
HUMA 2621,Culture and Environment,3 Credit(s),,,,,,,,This introductory course aims to study the relationship between $culture$ and the $environment$ and the impacts of cultural mechanisms on resource management@ population and health practices in different cultural settings.,@
